Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
316,Gus Williams,SG,33,ATL,33,0,14.6,1.6,4.4,.363,0.2,0.5,.278,1.5,3.9,.375,.380,0.8,1.2,.675,0.2,1.0,1.2,4.2,0.5,0.2,1.6,1.6,4.2,willigu01
317,Herb Williams,PF,28,IND,74,67,34.1,6.1,12.7,.480,0.0,0.1,.000,6.1,12.6,.485,.480,2.7,3.6,.740,1.9,5.4,7.3,2.4,0.8,1.3,2.0,3.4,14.9,willihe01
318,Hot Rod Williams,PF,24,CLE,80,80,33.9,5.4,11.2,.485,0.0,0.0,.000,5.4,11.2,.485,.485,3.7,5.0,.745,2.8,5.1,7.9,1.9,0.7,2.1,1.7,2.5,14.6,williho01
319,John Williams,SF,20,WSB,78,6,22.7,3.6,8.0,.454,0.1,0.5,.222,3.5,7.5,.468,.460,1.8,2.9,.646,1.7,3.0,4.7,2.4,1.7,0.4,1.6,2.2,9.2,willijo02
320,Kevin Williams,SG,25,SEA,65,0,10.8,2.0,4.6,.446,0.0,0.1,.000,2.0,4.4,.457,.446,0.8,1.0,.833,0.7,0.6,1.3,1.0,0.7,0.1,1.0,2.4,4.9,willike01
321,Pete Williams,PF,21,DEN,5,0,2.0,0.2,0.4,.500,0.0,0.0,,0.2,0.4,.500,.500,0.0,0.0,,0.0,0.2,0.2,0.2,0.0,0.0,0.2,0.2,0.4,willipe01
322,Ray Williams,PG,32,NJN,32,14,25.0,4.1,9.1,.452,0.2,0.9,.250,3.9,8.2,.473,.464,1.5,1.9,.817,0.8,1.5,2.3,5.8,1.2,0.3,2.9,3.5,9.9,willira01
323,Kevin Willis,PF,24,ATL,81,81,32.4,6.6,12.4,.536,0.0,0.0,.250,6.6,12.3,.538,.537,2.8,4.0,.709,4.0,6.5,10.5,0.8,0.8,0.8,2.1,3.9,16.1,willike02
324,Michael Wilson,SG-PG,27,TOT,7,0,6.4,0.4,1.4,.300,0.0,0.0,,0.4,1.4,.300,.300,0.3,0.3,1.000,0.1,0.4,0.6,1.0,0.1,0.0,0.7,1.4,1.1,wilsomi01
324,Michael Wilson,SG,27,NJN,5,0,8.6,0.6,1.6,.375,0.0,0.0,,0.6,1.6,.375,.375,0.4,0.4,1.000,0.2,0.6,0.8,1.2,0.2,0.0,0.8,1.8,1.6,wilsomi01
